industry,country,name,datejoined,city,rank,valuation,investors,founded,headquarter,marketcap,employees,company,website,ownership,link,revenue,sector,address,type,ceo,market_value,company_status,company_number
IT Services & Consulting, United States (USA),BPO Systems,,,,,,2000 (23 yrs old),"Walnut Creek, California, United States (USA)",,,,,Private,,,,,,,,,
Travel & Tourism, United States (USA),Fragomen Immigration Services,,,,,,1951 (72 yrs old),"New York, United States (USA)",,,,,Private,,,,,,,,,
Non-Profit, United States,Alliance India,,,,,,1999 (24 yrs old),"New York City,New York, United States",,,,,Private,,,,,,,,,
